"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1963718",0.835878247914738,0.837293772658704,0.82098688579315,0.827206016724135,0.846597689224341
"CHEMBL1963726",0.75195968325949,0.773466841474869,0.724191511378023,0.772382469825485,0.75373240154091
"CHEMBL1963750",0.736732655789985,0.729763169441203,0.690224803300641,0.67434605825814,0.692822146562287
"CHEMBL1737966",0.572989724798682,0.602273202575012,0.590930418532644,0.593285975941159,0.568362422725039
"CHEMBL1964015",0.845933101395204,0.872813498683312,0.866551087622831,0.845927887111873,0.87422616538107
"CHEMBL1614004",0.722424198327437,0.795056396552712,0.75423284594117,0.754318285419276,0.743114103221379
"CHEMBL1909123",0.529321283005494,0.500903774587985,0.904556677890011,0.856668438773702,0.835292102309646
"CHEMBL1614041",0.887731883504384,0.958101402933721,0.948078122848397,0.940875654287022,0.946710671321647
"CHEMBL1909173",0.935661814315399,0.9386028594476,0.93383281365182,0.896771884466664,0.939975873357858
"CHEMBL1614175",0.746537646415937,0.847047116564965,0.819889613792154,0.854906947250029,0.839274231608755
"CHEMBL1963830",0.694227354340461,0.73752521227987,0.692551617438302,0.721003849972995,0.715569180845919
"CHEMBL1909169",0.852555879252748,0.901449646318589,0.807838588794822,0.876198269815291,0.821460365763011
"CHEMBL1963723",0.763540196939467,0.811788856385686,0.771329646750869,0.779079165039875,0.790827871203818
"CHEMBL1963972",0.589920732136838,0.640123736066471,0.573847772008377,0.617692334705165,0.606853787029396
"CHEMBL1614432",0.632094735627406,0.662509674572467,0.709733863231496,0.678836365299784,0.706234260203094
"CHEMBL1964095",0.834102449480265,0.852091555491838,0.827317207574114,0.818542301157557,0.842960281916826
"CHEMBL1614524",0.68328113643712,0.793753315340031,0.791193425618833,0.755249281083439,0.808091819029615
"CHEMBL2114812",0.702994089834515,0.728579909152977,0.73287608275625,0.522139001518762,0.637840461527029
"CHEMBL1738500",0.665015023757209,0.761615089097675,0.748596695875697,0.733736617710839,0.756914132664593
"CHEMBL1964104",0.743384155431032,0.75879761225506,0.752210590628603,0.753673789697512,0.744520431462092
"CHEMBL3215245",0.862916543062006,0.902813378314385,0.847610544586502,0.841021292024144,0.870852456568216
"CHEMBL2114934",0.751061940268658,0.761268049120866,0.717252576098403,0.762208091037519,0.758138043116831
"CHEMBL3214915",0.853704609462072,0.882737587557978,0.859956262549467,0.82705526973408,0.867926968538162
"CHEMBL1963742",0.757236088312324,0.766980169664538,0.73563115769854,0.734647483587475,0.757729811249627
"CHEMBL1909212",0.834325826339043,0.85386526111717,0.817641640036821,0.849963604370007,0.827157062741545
"CHEMBL2114916",0.867338233661763,0.958764186327212,0.935117731474874,0.954989773065403,0.945803555921203
"CHEMBL1614499",0.667151323827242,0.705511621823496,0.703787061043779,0.699987423481206,0.703295800724956
"CHEMBL1613870",0.554308307285035,0.535912534836095,0.541371430559715,0.54234421753695,0.541858791641273
"CHEMBL1614019",0.782723957108294,0.819715042721192,0.814801819509023,0.809293253453113,0.810209999540478
"CHEMBL3215183",0.874470886478934,0.905681412124662,0.885643166389733,0.86535252526991,0.89935289342988
"CHEMBL1963782",0.726310696563158,0.760559679174156,0.750862173896224,0.729499613053392,0.747030022293462
"CHEMBL1614169",0.630279126513826,0.862904009844658,0.871949258911461,0.809809775957993,0.859925280080477
"CHEMBL2114734",0.742234563296356,0.789298737021394,0.797540304198268,0.814592985263133,0.746029642439564
"CHEMBL1963814",0.762788430731132,0.784100864171349,0.787729718273176,0.736917123496082,0.79181106221548
"CHEMBL1963999",0.509497915467369,0.543897432415324,0.485714961784162,0.413800840298873,0.522137010275393
"CHEMBL2114716",0.760896747358628,0.863555166327612,0.845178394535641,0.843100154612781,0.854821280966634
"CHEMBL1614529",0.706693659597834,0.768062427357416,0.758052029305397,0.746834338721319,0.75959826539736
"CHEMBL3215004",0.679754066950687,0.718448543581135,0.685002030964245,0.656445154418789,0.675550275631729
"CHEMBL2114714",0.777621685450479,0.836412718921959,0.828458177398953,0.817442692850638,0.833012973148961
"CHEMBL1614122",0.693459318708397,0.756793240340492,0.730848212935371,0.735804243330587,0.742579844014528
"CHEMBL1794366",0.582846184947821,0.622039688074252,0.605875098941589,0.600478444540334,0.625097875707555
"CHEMBL1613944",0.705301750401482,0.800098355275781,0.767935508588192,0.776845661613398,0.775428458940381
"CHEMBL1613896",0.596426419073008,0.688851076775256,0.663156916909503,0.6826291374872,0.674427550171947
"CHEMBL1794523",0.527633919022829,0.502747376023482,0.500012412733591,0.522941580034989,0.510832372862334
